Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
271.98001,284.0,263.33999,282.64999,282.64999,14801300,2018,11,28
282.32,290.48999,275.5,288.75,288.75,15431500,2018,11,29
288.0,290.80999,283.05999,286.13,286.13,11860100,2018,11,30
293.19,298.72,284.57998,290.29998,290.29998,14117400,2018,12,3
288.13,295.73999,274.72,275.32998,275.32998,12800600,2018,12,4
268.32998,283.22,267.14001,282.88,282.88,13074300,2018,12,6
282.48001,284.20999,263.38,265.14001,265.14001,12466700,2018,12,7
264.19,271.17999,260.60998,269.70001,269.70001,9605600,2018,12,10
274.07998,274.5,262.76001,265.32,265.32,9843200,2018,12,11
267.66,281.76998,266.48001,274.88,274.88,11456700,2018,12,12
277.64001,279.32,271.85,276.01998,276.01998,8379300,2018,12,13
271.80999,277.67001,265.0,266.83999,266.83999,9915300,2018,12,14
266.51001,272.98001,261.07998,262.79998,262.79998,9634700,2018,12,17
263.29998,275.75,263.29,270.94,270.94,10350100,2018,12,18
269.95999,280.86999,263.76998,266.76998,266.76998,13788400,2018,12,19
264.64001,269.89999,251.88,260.57998,260.57998,16792900,2018,12,20
263.82998,264.5,241.28999,246.38999,246.38999,21397600,2018,12,21
242.0,250.64999,233.67999,233.88,233.88,9547600,2018,12,24
233.91999,254.5,231.22999,253.66999,253.66999,14402700,2018,12,26
250.11,255.58999,240.1,255.57,255.57,12235200,2018,12,27
257.94,261.91,249.8,256.07998,256.07998,10992800,2018,12,28
260.16,270.1,260.0,267.66,267.66,13508900,2018,12,31
259.27999,269.75,256.57998,267.66,267.66,11679500,2019,1,2
270.20001,275.79,264.42999,271.20001,271.20001,14969600,2019,1,3
281.88,297.79998,278.54,297.57,297.57,19330100,2019,1,4
302.1,316.79998,301.64999,315.33999,315.33999,18620100,2019,1,7
319.98001,320.58999,308.01001,320.26998,320.26998,15359200,2019,1,8
317.70999,323.35,313.5,319.95999,319.95999,13343200,2019,1,9
314.57,325.36999,312.5,324.66,324.66,13472500,2019,1,10
330.95999,341.08999,328.51998,337.58999,337.58999,19500400,2019,1,11
334.23999,335.48001,329.13,332.94,332.94,10499600,2019,1,14
349.6,357.22,347.0,354.64001,354.64001,21181200,2019,1,15
354.0,358.85,348.10998,351.39001,351.39001,15385500,2019,1,16
349.5,355.79,346.41,353.19,353.19,18871200,2019,1,17
351.97,353.0,336.73001,339.1,339.1,26621000,2019,1,18
334.89001,336.88,321.02999,325.16,325.16,17941400,2019,1,22
328.25,331.75,318.6,321.98999,321.98999,13480100,2019,1,23
320.6,331.79998,319.0,326.67001,326.67001,11131600,2019,1,24
328.72,340.0,328.51001,338.04998,338.04998,11152900,2019,1,25
334.70001,336.29998,328.88,335.66,335.66,8652100,2019,1,28
335.86999,338.22,328.14999,328.89999,328.89999,7655200,2019,1,29
332.75,341.77999,330.79998,340.66,340.66,9234500,2019,1,30
339.67999,345.98999,338.08999,339.5,339.5,8535500,2019,1,31
337.17999,346.83999,336.5,339.85,339.85,9827800,2019,2,1
342.6,352.0,341.29998,351.33999,351.33999,9051400,2019,2,4
353.20001,360.0,352.89999,355.80999,355.80999,9046600,2019,2,5
357.0,357.04,347.19,352.19,352.19,6717700,2019,2,6
347.89999,348.75,339.01998,344.70999,344.70999,7864500,2019,2,7
338.0,348.0,338.0,347.57,347.57,7561400,2019,2,8
350.0,352.86999,344.80999,345.73001,345.73001,5454900,2019,2,11
348.08999,360.0,346.51998,359.97,359.97,10429400,2019,2,12
357.29998,359.6,350.27999,351.76998,351.76998,10559100,2019,2,13
351.75,360.45001,348.32998,359.07,359.07,9295300,2019,2,14
358.47,364.39999,355.5,356.86999,356.86999,9230000,2019,2,15
355.79998,365.0,355.32,361.92001,361.92001,7396600,2019,2,19
364.85,366.70999,356.70001,359.91,359.91,8110700,2019,2,20
360.02999,362.85,353.88,356.97,356.97,6227900,2019,2,21
360.33999,366.13,360.04998,363.01998,363.01998,7088200,2019,2,22
367.01001,371.48999,363.79,363.91,363.91,7569300,2019,2,25
362.98001,365.70001,359.32998,364.97,364.97,4944600,2019,2,26
363.5,368.02999,359.79998,362.86999,362.86999,5629900,2019,2,27
362.47,366.39001,357.70999,358.1,358.1,6186800,2019,2,28
362.26001,362.86999,354.69,357.32,357.32,5526500,2019,3,1
359.72,362.25,348.04,351.04,351.04,7487000,2019,3,4
351.45999,356.17001,348.25,354.29998,354.29998,5937800,2019,3,5
353.6,359.88,351.70001,359.60998,359.60998,6211900,2019,3,6
360.16,362.85998,350.5,352.6,352.6,6151300,2019,3,7
345.75,349.92001,342.47,349.6,349.6,6898800,2019,3,8
352.0,358.98001,350.02999,358.85998,358.85998,5387300,2019,3,11
359.36999,360.13,353.79998,356.26998,356.26998,5164600,2019,3,12
355.80999,362.48001,352.76998,361.20999,361.20999,6444100,2019,3,13
360.5,363.83999,358.1,358.82,358.82,5271400,2019,3,14
361.01998,364.0,358.89001,361.45999,361.45999,8444500,2019,3,15
362.47,370.97,361.85998,363.44,363.44,7194700,2019,3,18
366.39999,366.95999,356.79998,358.77999,358.77999,7541400,2019,3,19
358.91,375.89999,357.01001,375.22,375.22,10917200,2019,3,20
374.0,379.0,370.60998,377.86999,377.86999,8544000,2019,3,21
375.95001,376.42999,360.04,361.01001,361.01001,8661300,2019,3,22
359.0,367.04,357.44,366.23001,366.23001,8473800,2019,3,25
367.86999,368.38,358.01998,359.97,359.97,7666500,2019,3,26
361.0,362.47,350.36999,353.36999,353.36999,7852400,2019,3,27
354.48999,355.94,349.20001,354.60998,354.60998,4361000,2019,3,28
357.16,358.25,353.70999,356.55999,356.55999,4705600,2019,3,29
359.0,368.32998,358.51001,366.95999,366.95999,7036100,2019,4,1
366.25,368.42001,362.22,367.72,367.72,5158700,2019,4,2
369.26001,373.41,366.19,369.75,369.75,5368900,2019,4,3
